Property Rights,Judical Effectiveness,Government Integrity,Tax Burden,Business Freedom,Trade Freedom,Investment Freedom,Financial Freedom,2019 Score
19.6,29.6,25.2,91.7,49.2,66.0,10.0,10.0,51.5
54.8,30.6,40.4,86.3,69.3,87.8,70.0,70.0,66.5
31.6,36.2,28.9,76.4,61.6,67.4,30.0,30.0,46.2
35.9,26.6,20.5,83.9,55.7,61.2,30.0,40.0,50.6
47.8,44.5,33.5,69.3,56.4,70.0,55.0,60.0,52.2
57.2,46.3,38.6,84.7,78.3,80.8,75.0,70.0,67.7
79.1,86.5,79.9,62.8,88.3,87.6,80.0,90.0,80.9
84.2,71.3,77.4,50.5,74.9,86.0,90.0,70.0,72.0
59.1,53.1,44.7,87.5,69.5,74.6,60.0,60.0,65.4
42.2,46.9,43.7,97.3,68.5,47.8,50.0,60.0,62.9
63.5,50.7,53.6,99.7,71.4,83.8,75.0,80.0,66.4
36.1,34.5,24.4,72.7,50.9,63.6,45.0,30.0,55.6
52.9,59.9,53.8,70.1,69.8,56.6,70.0,60.0,64.7
55.2,51.7,37.7,89.4,75.0,76.4,30.0,10.0,57.9
81.3,61.6,72.5,47.1,78.1,86.0,85.0,70.0,67.3
41.7,46.9,27.2,79.9,61.8,64.0,55.0,50.0,55.4
37.2,32.8,28.1,69.3,62.4,61.8,70.0,50.0,55.3
62.5,55.4,54.5,83.0,68.7,79.4,20.0,30.0,62.9
20.5,12.3,19.7,82.4,58.8,70.4,15.0,40.0,42.3
40.2,37.9,30.2,84.3,49.7,82.6,65.0,60.0,61.9
58.1,45.7,52.4,82.7,68.7,83.8,65.0,70.0,69.5
57.3,51.7,28.1,70.5,57.9,69.0,50.0,50.0,51.9
64.0,56.0,43.7,90.7,80.2,84.0,65.0,50.0,65.1
62.5,41.9,35.1,90.2,62.7,86.0,70.0,60.0,69.0
49.1,42.9,36.6,81.9,51.6,65.2,65.0,40.0,59.4
34.7,18.1,30.6,86.6,52.8,70.8,30.0,20.0,53.6
20.6,31.0,26.2,74.0,50.3,68.2,50.0,30.0,48.9
37.4,27.6,16.7,89.7,29.9,65.4,60.0,50.0,57.8
42.5,31.3,25.5,74.4,44.4,53.4,30.0,50.0,52.4
87.0,69.4,84.6,76.8,81.9,86.8,80.0,80.0,77.7
44.1,49.0,43.7,76.4,65.2,68.2,80.0,60.0,63.1
19.6,29.6,23.2,65.2,24.2,51.0,45.0,30.0,49.1
26.7,24.6,23.2,46.1,28.1,47.2,60.0,40.0,49.9
68.7,56.3,62.3,77.3,76.6,88.8,85.0,70.0,75.4
49.9,75.2,49.1,70.4,56.2,73.0,25.0,20.0,58.4
59.2,34.3,33.5,74.3,71.4,76.0,80.0,70.0,67.3
36.5,29.6,24.4,63.9,57.2,70.0,45.0,30.0,55.4
25.3,30.7,26.2,73.8,53.2,62.6,30.0,20.0,50.3
33.2,29.6,25.3,59.5,38.2,56.8,45.0,30.0,39.7
58.3,54.0,54.5,79.2,67.2,81.4,70.0,50.0,65.3
40.9,47.8,38.1,77.5,61.0,73.6,75.0,50.0,62.4
66.0,42.9,38.6,66.4,60.7,86.0,75.0,60.0,61.4
31.6,10.0,37.7,48.8,20.0,64.0,10.0,10.0,27.8
73.1,48.1,43.7,74.9,76.9,86.0,75.0,60.0,68.1
74.8,47.6,52.1,82.6,72.4,86.0,80.0,80.0,73.7
86.2,77.8,85.8,42.0,90.7,86.0,90.0,80.0,76.7
29.7,18.1,28.1,76.2,54.7,50.4,80.0,50.0,47.1
49.2,63.8,54.5,72.1,70.7,68.2,70.0,30.0,63.6
50.6,18.1,23.2,84.6,51.9,75.8,70.0,40.0,61.0
35.9,20.2,25.3,77.0,54.1,66.4,35.0,40.0,46.9
37.0,48.3,29.2,85.2,65.9,71.8,60.0,50.0,52.5
37.6,29.1,23.4,78.1,57.2,81.4,75.0,60.0,61.8
29.7,18.1,15.8,71.3,37.6,48.8,40.0,30.0,41.0
35.5,18.1,19.7,81.4,17.7,69.2,0.0,20.0,38.9
81.5,76.0,73.1,79.9,75.3,86.0,90.0,70.0,76.6
41.7,42.9,35.0,74.8,59.2,87.6,50.0,40.0,54.7
32.6,40.9,35.1,77.2,48.6,60.8,35.0,20.0,53.6
67.3,42.9,23.4,81.1,63.0,62.8,55.0,50.0,62.2
89.6,81.2,92.5,66.8,89.4,86.0,85.0,80.0,74.9
82.5,66.1,67.9,48.4,81.2,81.0,75.0,70.0,63.8
28.1,30.6,35.5,75.8,52.1,51.2,60.0,40.0,56.3
39.9,42.5,41.2,74.3,54.0,61.6,65.0,50.0,52.4
65.9,54.6,58.5,87.1,85.8,88.6,80.0,70.0,75.9
79.9,75.4,81.3,60.8,83.3,86.0,80.0,70.0,73.5
49.1,44.2,35.5,78.8,56.5,63.4,70.0,60.0,57.5
52.4,49.5,37.7,59.1,74.1,81.0,55.0,50.0,57.7
40.3,32.3,26.4,79.2,53.6,82.2,70.0,50.0,62.6
34.7,32.6,25.5,69.4,54.6,63.2,50.0,40.0,55.7
32.6,42.9,25.3,88.8,35.9,55.6,30.0,30.0,54.0
41.7,42.9,33.2,67.0,59.3,66.8,55.0,30.0,56.8
10.4,25.3,20.3,79.9,36.2,72.0,45.0,30.0,52.7
43.4,31.0,25.3,82.8,56.9,79.4,65.0,60.0,60.2
93.3,75.3,83.8,93.1,96.4,95.0,90.0,90.0,90.2
60.9,45.2,35.3,78.6,61.1,86.0,80.0,70.0,65.0
87.4,63.8,83.8,72.7,88.4,87.0,85.0,70.0,77.1
57.3,61.6,47.8,79.4,57.1,72.4,40.0,40.0,55.2
52.2,53.5,39.5,83.7,69.3,79.8,45.0,60.0,65.8
33.5,41.3,35.0,80.9,62.2,54.6,5.0,10.0,51.1
37.0,12.3,20.3,77.21277777777779,54.4,74.26098901098901,57.255434782608695,48.78453038674033,60.76833333333333
85.8,68.4,78.0,76.3,83.1,86.0,90.0,70.0,80.5
80.0,73.4,67.9,61.9,71.4,84.4,75.0,70.0,72.8
71.7,49.8,43.7,55.6,71.7,86.0,85.0,50.0,62.2
60.7,49.2,45.0,80.2,78.0,68.4,80.0,50.0,68.6
84.1,68.5,78.0,68.2,80.5,80.0,70.0,60.0,72.1
58.4,52.6,50.3,91.4,61.8,81.4,70.0,60.0,66.5
59.3,56.1,40.3,93.4,73.9,80.0,50.0,50.0,65.4
53.8,46.9,32.1,79.5,55.8,60.4,55.0,50.0,55.1
44.1,34.3,35.1,73.0,41.9,53.2,25.0,30.0,47.3
31.6,5.0,24.4,0.0,5.0,0.0,0.0,0.0,5.9
79.3,57.5,50.5,64.2,91.3,80.4,70.0,70.0,72.3
57.2,53.5,44.7,92.5,73.8,70.8,65.0,30.0,67.0
52.9,43.3,35.3,97.7,57.4,79.0,55.0,60.0,60.8
49.9,27.9,27.2,94.1,73.4,78.6,60.0,50.0,62.3
38.8,42.5,33.5,86.9,60.1,81.8,35.0,20.0,57.4
67.3,48.4,35.5,77.0,77.5,86.0,85.0,60.0,70.4
39.5,26.6,18.2,91.8,47.9,79.0,60.0,50.0,51.1
41.5,45.7,30.9,59.4,53.3,81.0,55.0,40.0,53.1
26.7,39.0,24.2,82.7,50.6,60.1,55.0,20.0,49.7
7.6,24.4,15.8,77.21277777777779,40.2,74.26098901098901,5.0,48.78453038674033,60.76833333333333
52.32756756756756,44.89945945945946,41.47027027027027,77.21277777777779,63.51405405405406,74.26098901098901,85.0,80.0,60.76833333333333
73.6,61.2,47.8,86.4,75.2,86.0,80.0,70.0,74.2
83.0,72.4,85.8,65.4,68.8,86.0,95.0,80.0,75.9
60.0,60.0,33.2,77.1,60.0,90.0,85.0,70.0,71.0
65.1,60.7,44.7,91.8,80.2,82.0,65.0,60.0,71.1
33.2,24.4,14.3,91.0,47.3,69.2,55.0,50.0,56.6
35.8,40.1,25.2,79.8,41.7,75.4,50.0,50.0,51.4
84.1,68.2,55.4,85.6,83.9,82.0,60.0,50.0,74.0
43.9,36.4,33.5,95.8,78.3,62.6,35.0,30.0,53.2
33.7,33.4,29.6,68.7,53.8,69.8,65.0,40.0,58.1
69.8,50.4,50.3,64.2,67.1,86.0,85.0,60.0,68.6
27.5,30.6,30.6,78.0,61.9,62.6,50.0,40.0,55.7
69.5,62.1,40.3,92.1,79.8,88.4,80.0,70.0,73.0
59.1,34.9,26.3,75.8,67.8,81.4,75.0,60.0,64.7
7.6,26.6,36.6,92.8,57.4,80.6,35.0,30.0,51.9
55.2,29.6,25.4,85.4,67.0,78.0,55.0,50.0,59.1
48.2,23.8,29.8,88.5,66.0,75.8,50.0,60.0,55.4
55.4,51.8,39.5,85.3,73.3,84.7,75.0,50.0,60.5
57.2,47.1,39.2,72.2,70.3,77.4,65.0,70.0,62.9
33.9,35.2,28.1,75.5,57.1,78.0,35.0,50.0,48.6
55.9,54.7,49.8,66.5,65.8,83.0,65.0,40.0,58.7
39.2,34.7,26.2,84.0,61.8,60.4,10.0,30.0,53.8
88.0,74.7,89.1,51.6,81.4,86.0,90.0,80.0,76.8
95.0,83.5,96.7,71.0,91.0,92.4,80.0,80.0,84.4
33.4,18.7,20.3,76.9,56.0,76.0,60.0,50.0,57.7
37.2,31.0,34.1,76.9,56.3,65.8,55.0,40.0,51.6
36.5,34.3,20.5,85.0,51.2,62.4,45.0,40.0,57.3
86.1,81.2,92.3,57.4,89.4,83.2,75.0,60.0,73.0
58.1,51.6,53.8,97.8,75.2,87.0,65.0,60.0,61.0
41.5,40.2,30.6,80.5,56.1,64.8,55.0,40.0,55.0
60.4,30.1,34.1,85.0,73.6,79.2,75.0,70.0,67.2
37.4,49.0,37.2,71.8,62.2,80.9,25.0,30.0,58.4
39.5,30.0,25.5,96.3,61.5,76.6,75.0,60.0,61.8
56.1,34.0,31.8,80.6,67.8,86.4,75.0,60.0,67.8
48.7,36.4,30.9,76.9,61.3,78.2,60.0,60.0,63.8
62.3,44.0,49.8,74.9,65.4,86.0,80.0,70.0,67.8
71.5,64.3,59.5,59.9,79.7,86.0,70.0,60.0,65.3
64.5,60.0,77.4,99.7,71.2,83.2,60.0,60.0,72.6
66.7,51.9,39.8,89.7,63.1,86.0,70.0,50.0,68.6
52.4,45.1,36.6,89.4,78.4,77.8,30.0,30.0,58.9
72.2,83.2,67.9,79.8,56.2,70.4,60.0,40.0,71.1
65.9,63.8,50.3,76.2,76.3,73.2,65.0,40.0,68.7
36.5,63.8,50.5,71.2,76.5,66.6,70.0,40.0,65.8
53.8,31.0,37.7,79.9,77.0,63.8,55.0,30.0,62.2
37.4,26.6,35.5,87.2,65.1,64.2,60.0,30.0,54.0
55.0,62.7,49.8,99.8,72.3,76.0,45.0,50.0,60.7
47.8,40.4,40.3,70.8,53.3,72.0,60.0,40.0,56.3
50.1,44.8,37.2,82.0,72.9,77.0,70.0,50.0,63.9
58.2,37.5,39.2,76.3,63.3,81.4,55.0,30.0,61.4
35.5,34.5,26.2,87.3,44.9,69.4,60.0,20.0,47.5
97.4,92.4,95.1,90.4,90.8,94.8,85.0,80.0,89.4
68.5,37.2,37.7,78.6,61.3,86.0,75.0,70.0,65.0
76.4,46.5,53.6,58.4,79.3,86.0,70.0,50.0,65.5
49.9,51.7,33.5,65.5,68.6,56.8,15.0,30.0,54.6
33.7,26.6,7.9,77.21277777777779,31.7,74.26098901098901,57.255434782608695,48.78453038674033,60.76833333333333
58.8,39.3,39.7,62.1,64.3,76.0,45.0,50.0,58.3
72.9,51.4,51.9,62.3,66.8,86.0,85.0,70.0,65.7
44.7,39.4,28.9,84.9,75.1,76.2,40.0,40.0,56.4
27.5,22.2,26.2,86.3,52.1,45.0,5.0,20.0,47.7
49.1,22.2,35.5,70.9,48.3,64.6,40.0,30.0,48.1
89.5,84.0,88.0,43.2,88.0,86.0,85.0,80.0,75.2
85.3,82.0,88.0,70.5,75.4,87.4,85.0,90.0,81.9
37.0,24.4,20.3,77.21277777777779,49.6,47.0,0.0,48.78453038674033,60.76833333333333
85.4,70.1,69.2,75.0,93.2,87.0,60.0,60.0,77.3
47.8,52.1,36.4,91.8,67.3,73.6,25.0,30.0,55.6
35.4,41.4,33.2,80.5,46.6,67.8,55.0,50.0,60.2
53.7,45.9,36.4,81.3,82.5,83.0,55.0,60.0,68.3
29.7,13.1,32.1,96.3,60.5,75.0,45.0,20.0,44.2
35.5,29.6,28.1,67.8,50.4,69.4,65.0,30.0,50.3
59.2,26.6,38.1,85.5,75.3,73.6,40.0,20.0,57.7
52.3,40.6,32.9,82.3,67.8,68.4,60.0,50.0,57.0
49.2,42.7,36.6,74.4,76.7,71.4,45.0,30.0,55.4
55.8,49.8,41.2,76.4,66.0,79.6,70.0,60.0,64.6
31.6,29.8,20.3,95.9,30.0,76.0,10.0,10.0,48.4
42.2,38.5,25.4,73.3,46.3,75.4,55.0,40.0,59.7
43.9,31.5,29.6,81.8,66.1,75.0,35.0,30.0,52.3
81.8,87.1,78.8,99.2,79.9,84.4,40.0,60.0,77.6
92.3,85.9,83.8,64.7,92.9,86.0,90.0,80.0,78.9
79.3,78.6,77.4,75.1,83.8,86.6,85.0,80.0,76.8
68.3,58.9,69.2,77.2,74.3,78.6,85.0,30.0,68.6
49.8,34.3,25.2,91.3,72.5,62.6,10.0,10.0,53.3
65.9,36.4,51.9,97.3,52.4,64.4,65.0,40.0,56.4
7.6,13.1,7.9,74.7,33.9,60.0,0.0,10.0,25.9
49.8,40.3,34.0,79.7,63.5,79.2,30.0,40.0,55.3
19.6,22.2,20.3,77.21277777777779,45.1,71.4,50.0,48.78453038674033,60.76833333333333
45.0,35.6,32.3,72.3,71.1,72.6,55.0,50.0,53.6
29.7,24.8,15.8,62.3,33.4,70.0,25.0,10.0,40.4
